Uuid,Name,Description,Void/Retire,Program concept,Outcomes concept,_order:1
${program.anc.uuid},ANC,Antenatal Care Program,,CIEL:165475,PIH:MCH outcome,
${program.asthma.uuid},Asthma,Asthma Program,,PIH:Asthma Program,PIH:Generic outcome,
${program.ayfs.uuid},AYFS,AYFS Program,,PIH:13176,PIH:Generic outcome,
${program.covid19.uuid},COVID-19,COVID-19 Program,,CIEL:166009,PIH:Generic outcome,
${program.diabetes.uuid},Diabetes,Diabetes Program,,PIH:Diabetes Program,PIH:Generic outcome,
${program.epilepsy.uuid},Epilepsy,Epilepsy Program,,PIH:Epilepsy program,PIH:Generic outcome,
${program.familyPlanning.uuid},Family Planning,Family Planning Program,,PIH:8853,PIH:Generic outcome,
${program.gynecology.uuid},Gynecology,Gynecology Program,,PIH:13254,PIH:Generic outcome,
${program.hypertension.uuid},Hypertension,Hypertension Program,,PIH:Hypertension program,PIH:Generic outcome,
${program.hiv.uuid},HIV,HIV Program,,PIH:HIV PROGRAM,PIH:HIV outcome,
${program.infant.uuid},Infant,Infant Program,,PIH:3594,PIH:20491,
${program.malnutrition.uuid},Malnutrition,Malnutrition Program,,PIH:MALNUTRITION PROGRAM,PIH:Generic outcome,
${program.mentalHealth.uuid},Mental Health,Mental Health Program,,PIH:Mental Health Program,PIH:Mental Health outcome,
${program.mch.uuid},MCH,Maternal and Child Health Program,,CIEL:159937,PIH:MCH outcome,
${program.ncd.uuid},NCD,NCD Program,,PIH:NCD Program,PIH:NCD outcome,
${program.ovc.uuid},OVC,USAID orphans and vulnerable children program,,PIH:OVC PROGRAM,PIH:OVC OUTCOMES,
${program.oncology.uuid},Oncology,ONCOLOGY Program,,PIH:Oncology program,PIH:Oncology outcome,
${program.pmtct.uuid},PMTCT,PMTCT Program,,PIH:1647,PIH:Generic outcome,
${program.pregnancy.uuid},Pregnancy,Pregnancy Program,,PIH:6143,PIH:20489,
${program.pregnancyMentalHealth.uuid},Pregnancy Mental Health,Pregnancy Mental Health Program,,PIH:15000,PIH:Generic outcome,
${program.tb.uuid},TB,Tuberculosis Program,,CIEL:160541,PIH:Generic outcome,
${program.zika.uuid},Zika,Zika Program,,PIH:Zika program,PIH:Study outcome,
${program.eid.uuid},EID,HIV Exposed Infant Program,,PIH:EID program,PIH:EID outcome,
